complaint,station,category,priorityLevel
Hostel: The cantine should offer more options for people who are gluten intolerant.,Hostel,Mess/Food,Low
Hostel: The food in the cafeteria is always fresh and delicious.,Hostel,Mess/Food,Low
Hostel: The cantine should offer more options for people who are vegan.,Hostel,Mess/Food,Low
Hostel: The chips in the cafeteria are always stale and overpriced.,Hostel,Mess/Food,Low
Hostel: The drinks available in the cafeteria are overpriced.,Hostel,Mess/Food,Low
Hostel: The cantine should offer more options for people who are on a diet.,Hostel,Mess/Food,Low
Hostel: The pizza in the cafeteria is always undercooked and soggy.,Hostel,Mess/Food,Low
Hostel: The sandwiches in the cafeteria are always made with cheap ingredients.,Hostel,Mess/Food,Low
Hostel: The staff in the cantine is always rude and unhelpful.,Hostel,Mess/Food,Low
Hostel: The cafeteria should offer more international snacks options.,Hostel,Mess/Food,Low
Hostel: The cantine should offer more halal options.,Hostel,Mess/Food,Low
Hostel: The prices at the cafeteria are reasonable for the quality of the food.,Hostel,Mess/Food,Low
Hostel: The cantine should offer more kosher options.,Hostel,Mess/Food,Low
Hostel: The cafeteria should offer more organic options.,Hostel,Mess/Food,Low
Hostel: The cantine should offer more fresh fruit options.,Hostel,Mess/Food,Low
Hostel: The hot dogs in the cafeteria are always cold and rubbery.,Hostel,Mess/Food,Low
Hostel: The cantine should offer more locally sourced options.,Hostel,Mess/Food,Low
Hostel: The cafeteria should offer more vegetarian options.,Hostel,Mess/Food,Low
Hostel: The cantine should offer more breakfast options.,Hostel,Mess/Food,Low
Hostel: The food in the dining hall is not healthy or nutritious.,Hostel,Mess/Food,Low
Hostel: The food in the dining hall is bland and tasteless.,Hostel,Mess/Food,Low
Hostel: The food in the dining hall is overpriced.,Hostel,Mess/Food,Low
Hostel: The dining hall is always crowded and there are long lines.,Hostel,Mess/Food,Low
Hostel: The dining hall is dirty and unsanitary.,Hostel,Mess/Food,Low
Hostel: The food in the vending machines is unhealthy and overpriced.,Hostel,Mess/Food,Low
Hostel: The food in the convenience store is unhealthy and overpriced.,Hostel,Mess/Food,Low
Hostel: There are not enough vegan or vegetarian options available.,Hostel,Mess/Food,Low
Hostel: There are not enough gluten-free options available.,Hostel,Mess/Food,Low
Hostel: There are not enough halal or kosher options available.,Hostel,Mess/Food,Low
Hostel: There are not enough international options available.,Hostel,Mess/Food,Low
Hostel: The food is not cooked to my liking.,Hostel,Mess/Food,Low
Hostel: The food is not served hot enough.,Hostel,Mess/Food,Low
Hostel: The food is not fresh.,Hostel,Mess/Food,Low
Hostel: The food is not appealing to look at.,Hostel,Mess/Food,Low
Hostel: The food is not filling.,Hostel,Mess/Food,Low
Hostel: I have gotten sick from eating the food in the dining hall.,Hostel,Mess/Food,Low
Hostel: I have seen rodents or insects in the dining hall.,Hostel,Mess/Food,Low
Hostel: I have seen food being prepared in unsanitary conditions.,Hostel,Mess/Food,Low
Hostel: I have been served food that was not what I ordered.,Hostel,Mess/Food,Low
Hostel: I have been charged for food that I did not receive.,Hostel,Mess/Food,Low
Hostel: I have been treated rudely by staff in the dining hall.,Hostel,Mess/Food,Low
Hostel: I have had my food stolen from me in the dining hall.,Hostel,Mess/Food,Low
Hostel: I have been harassed or assaulted in the dining hall.,Hostel,Mess/Food,High
Hostel: I have felt unsafe in the dining hall.,Hostel,Mess/Food,High
Hostel: I have been unable to find food that meets my dietary needs.,Hostel,Mess/Food,Low
Hostel: I have been unable to find food that I can afford.,Hostel,Mess/Food,Low
Hostel: I have been unable to find food that I enjoy.,Hostel,Mess/Food,Low
Hostel: I have been unable to find food that is healthy and nutritious.,Hostel,Mess/Food,Low
Hostel: I have been unable to find food that is cooked to my liking.,Hostel,Mess/Food,Low
Library: Having no technical knowledge about their taught subject.,Library,Academic Support And Resources,Low
